label,co2(ppm),methane(ppb),nitrous_oxide(ppvb),primary_energy_consumption (trillion BTUs),population
1,260.3,897,325,31.746,12412311
1,242.7,907,329,13.903,13299016
0,137.9,899,320,9.168,14485543
0,133.3,889,320,9.105,15816601
0,128.2,896,299,8.816,17075728
0,123,914,306,7.429,18110662
0,116.5,993,329,7.286,18853444
0,108.4,1060,359,6.938,19357126
0,102.9,1110,388,6.752,19737770
0,81,1187,415,6.749,20170847
0,75.8,1059,362,5.914,20779957
0,79.8,936,322,4.664,21606992
0,105.2,1119,370,4.428,22600774
0,118.6,1148,384,5.208,23680871
0,88.9,1146,381,4.81,24726689
0,130.3,1167,397,6.153,25654274
0,163.5,1489,406,7.745,26433058
1,226.9,1810,425,10.039,27100542
1,420,2217,479,17.152,27722281
1,674,2543,532,27.944,28394806
1,839.8,3001,599,34.74,29185511
0,1210.6,3948,661,47.199,30117411
0,1021.9,4878,716,43.26,31161378
1,844.1,5813,772,36.489,32269592
1,777.4,6777,855,33.502,33370803
1,790.4,7659,859,37.012,34413603
1,674.5,7815,912,34.458,35383028
1,686,7961,945,36.617,36296111
1,834.5,8151,896,41.989,37171922
0,7673.8,2212,500,314.95,25758872
0,7880.7,2216,477,312.043,26400468
0,7988.3,2259,475,320.191,27028330
0,8194.4,2289,465,297.932,27635517
0,8614.7,2294,428,301.891,28213777
0,9498.1,2572,420,313.11,28757788
0,9678.6,2851,431,309.901,29266415
0,8700.5,3124,418,297.846,29742980
0,10662.1,3423,475,308.31,30192750
0,9166.8,3720,468,311.398,30623406
0,8222.1,4016,756,299.936,31042238
0,8378,4165,757,310.801,31451513
0,8940.7,4318,739,321.94,31855110
0,9104.8,4503,765,336.876,32264159
0,8785.3,4690,829,349.734,32692153
0,10647.3,4863,768,366.175,33149720
0,10020.3,4854,804,379.183,33641007
0,10840.2,4847,811,399.601,34166976
0,10903.2,4812,775,423.509,34730604
0,12018.5,4816,828,448.801,35333882
0,11781.3,4821,851,438.964,35977451
0,11980.8,4842,916,464.422,36661438
0,12811.1,4877,1012,507.603,37383899
0,13243.5,4888,1059,536.956,38140135
0,14252.9,4925,1133,585.572,38923688
0,14968.3,4931,1187,617.482,39728020
0,14892.9,4942,1191,616.941,40551398
0,15493.6,4960,1207,623.701,41389174
0,16148.7,4955,1211,671.055,42228415
1,509,2761,2096,23.331,11848385
1,506.4,2804,2100,24.454,12248901
1,516.4,2847,2105,24.814,12657361
1,574.8,2878,2100,24.361,13075044
1,386.5,2918,2095,23.769,13503753
0,1094.9,2946,2094,25.496,13945205
0,1042.4,3364,1798,24.504,14400722
1,734.8,3242,1728,27.524,14871572
1,726.8,3789,2004,24.773,15359600
1,913,3609,1857,27.651,15866871
1,951.6,3292,1763,32.448,16395476
1,967.1,2814,1874,35.234,16945753
0,1259.8,3069,2057,37.546,17519418
1,898.9,3419,2334,41.666,18121477
0,1870.1,3579,2414,46.077,18758138
0,1900.6,3699,2423,39.23,19433604
0,2210.2,3659,2235,49.463,20149905
0,2497.7,3907,2356,56.855,20905360
0,2548.6,3976,2279,66.637,21695636
0,2756.5,4184,2359,75.825,22514275
0,2886.5,4425,2478,83.179,23356247
0,3033,4380,2447,87.199,24220660
0,3380.1,4318,2394,91.069,25107925
0,3322.9,4288,2384,101.919,26015786
0,3329.6,4241,2356,112.177,26941773
0,3362.1,4334,2465,116.999,27884380
0,3140.4,4315,2433,106.752,28842482
0,2842,4442,2606,101.83,29816769
0,2437.6,3996,2127,98.985,30809787
0,22,13,2,1.749,62533
0,21.3,13,2,1.743,63363
0,20.9,14,2,1.748,64459
0,21.6,14,2,1.743,65777
0,21.6,15,2,1.866,67201
0,22.4,15,2,1.989,68672
0,23.8,16,2,1.995,70176
0,25.6,16,2,2.05,71707
0,27.1,17,2,2.05,73219
0,28.2,17,2,2.05,74674
0,29.3,18,2,2.136,76007
0,29.7,18,2,2.136,77212
0,33,18,2,2.29,78298
0,35.2,19,2,2.407,79311
0,36.6,19,2,2.497,80347
0,37.4,19,3,2.535,81462
0,38.5,20,3,2.613,82715
0,40.7,20,3,2.738,84029
0,41.8,20,3,2.801,85394
0,44.3,20,3,2.935,86743
0,45.4,19,2,2.837,88030
0,44.3,19,2,2.829,89250
0,45.8,19,2,2.908,90407
0,46.2,19,2,2.908,91510
0,46.2,20,2,2.973,92562
0,48,20,2,3.043,93571
0,49.1,20,2,3.089,94520
0,49.1,20,2,2.937,95425
0,49.8,20,2,3.035,96282
0,11207.9,10651,3588,509.723,32618648
0,11750.6,10632,3574,518.849,33079002
0,12123.1,10814,3647,557.012,33529320
0,11777.7,10763,3598,572.494,33970103
0,12222.9,10910,3699,605.287,34402669
0,12776.5,10950,3708,628.421,34828168
0,13476.2,10941,3786,662.54,35246376
0,13764.1,11018,3841,674.108,35657438
0,13945.2,10817,3796,700.362,36063451
0,14728.5,11217,3862,706.883,36467218
0,14235.8,11146,4008,709.047,36870796
0,13400.4,10959,3948,690.743,37275644
0,12439.2,11290,4007,663.971,37681743
0,13463.1,11942,4403,709.362,38087866
0,15704.3,12072,4431,752.068,38491970
0,16143.4,12088,4381,798.026,38892924
0,17460.9,12299,4518,839.4,39289876
0,17424.6,12376,4757,879.095,39684303
0,18810.6,12273,4625,888.751,40080159
0,17894.9,11795,4086,864.127,40482786
0,18673.3,11002,4186,898.253,40895751
0,19027.4,10926,4278,926.83,41320497
0,19171.5,11189,4228,961.133,41755188
0,19013.3,11380,4397,998.486,42196034
0,18865.7,11423,4389,996.752,42637508
0,19240.6,11421,4356,1015.811,43075416
0,19097.7,11567,4648,1009.007,43508459
0,18780.5,11789,4868,1011.457,43937143
0,18110,11792,4801,997.102,44361150
1,586.3,317,75,57.757,3442820
